Position,Const,Created,Modified,Description,Name,Known For,Birth Date
50,nm0001626,2012-11-15,2014-06-24,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Beginners"" - Level of Difficulty - 4.7 Stars
""The Last Station"" - Level of Difficulty - 4.7 Stars
""The Sound of Music"" - Level of Difficulty - 4.5 Stars",Christopher Plummer,Beginners,1929-12-13
51,nm0000169,2012-11-15,2014-11-05,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances: 

""Lincoln"" - Level of Difficulty - 4.7 Stars
""The Fugitive"" - Level of Difficulty - 4.2 Stars
""In the Valley of Elah"" - Level of Difficulty - 4.8 Stars",Tommy Lee Jones,The Fugitive,1946-09-15
52,nm0000125,2012-11-15,2013-07-11,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 1
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 1

Greatest Performances: 

""The Untouchables"" - Level of Difficulty - 4.6 Stars
""The Russia House"" - Level of Difficulty - 4.7 Stars
""The Family Business"" - Level of Difficulty - 4.7 Stars",Sean Connery,Dr. No,1930-08-25
53,nm0000273,2012-11-15,2013-07-02,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 6

Greatest Performances: 

""Argo"" - Level of Difficulty - 4.6 Stars
""Little Miss Sunshine"" - Level of Difficulty - 4.7 Stars
""The Heart Is a Lonely Hunter"" - Level of Difficulty - 4.5 Stars",Alan Arkin,Argo,1934-03-26
54,nm0000686,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 1

Greatest Performances: 

""The Deer Hunter"" - Level of Difficulty - 4.8 Stars
""King of New York"" - Level of Difficulty - 4.6 Stars
""Catch Me If You Can"" - Level of Difficulty - 4.7 Stars",Christopher Walken,The Deer Hunter,1943-03-31
55,nm0000582,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 2

Greatest Performances: 

""Casino"" - Level of Difficulty - 4.5 Stars
""Goodfellas"" - Level of Difficulty - 4.7 Stars
""Raging Bull"" - Level of Difficulty - 4.6 Stars",Joe Pesci,GoodFellas,1943-02-09
56,nm0005212,2013-02-14,2014-05-24,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 4 (1 for Writing) 
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Richard III"" - Level of Difficulty - 4.6 Stars
""Gods and Monsters"" - Level of Difficulty - 4.6 Stars
""The Lord….Rings: Fellowship of…Ring"" - Level of Difficulty - 4.7 Stars",Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,1939-05-25
57,nm0000140,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 2 (1 for Producing)
Oscar Nominations: 2 (1 for Producing)
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 7

Greatest Performances: 

""Wall Street"" - Level of Difficulty - 4.7 Stars
""Wonder Boys"" - Level of Difficulty - 4.5 Stars
""Fatal Attraction"" - Level of Difficulty - 4.4 Stars",Michael Douglas,Behind the Candelabra,1944-09-25
58,nm0000685,2012-11-15,2017-05-14,"Jon Voight came to prominence in the late 1960s with his performance as a would-be gigolo in Midnight Cowboy (1969). During the 1970s, he became a Hollywood star with his portrayals of a businessman in Deliverance (1972), and a paraplegic Vietnam veteran in Coming Home (1978).

Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 3
Golden Globe Nominations: 9

Greatest Performances: 

""Coming Home"" - Level of Difficulty - 4.7 Stars
""Runaway Train"" - Level of Difficulty - 4.6 Stars
""Midnight Cowboy"" - Level of Difficulty - 4.6 Stars",Jon Voight,Midnight Cowboy,1938-12-29
59,nm0001215,2016-05-31,2016-06-22,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 5
BAFTA Awards: 2
BAFTA Nominations: 13
Golden Globes: 2
Golden Globe Nominations: 9

Greatest Performances:

""The Dresser"" - Level of Difficulty - 4.6 Stars
""Under the Volcano"" - Level of Difficulty - 4.6 Stars
""The Murder on the orient Express"" - Level of Difficulty - 4.7 Stars",Albert Finney,Murder on the Orient Express,1936-05-09
60,nm0001691,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 3
BAFTA Nominations: 5
Golden Globes: 2
Golden Globe Nominations: 5

Greatest Performances: 

""Shine"" - Level of Difficulty - 5 Stars
""Quills "" - Level of Difficulty - 4.8 Stars
""The King's Speech"" - Level of Difficulty - 4.5 Stars",Geoffrey Rush,The King's Speech,1951-07-06
61,nm0000460,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 2
Golden Globe Nominations: 6

Greatest Performances: 

""Reversal of Fortune"" - Level of Difficulty - 4.8 Stars
""Brideshead Revisited"" - Level of Difficulty - 4.6 Stars
""The French……Woman"" - Level of Difficulty - 4.6 Stars",Jeremy Irons,Dead Ringers,1948-09-19
62,nm0000849,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.9 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances: 

""Biutiful"" - Level of Difficulty - 4.8 Stars
""Before Night Falls"" - Level of Difficulty - 4.8 Stars
""No Country for Old Men"" - Level of Difficulty - 5 Stars",Javier Bardem,Skyfall,1969-03-01
63,nm0005132,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""Candy"" - Level of Difficulty - 4.5 Stars
""The Dark Knight"" - Level of Difficulty - 5 Stars
""Brokeback Mountain"" - Level of Difficulty - 4.7 Stars",Heath Ledger,Brokeback Mountain,1979-04-04
64,nm0910607,2013-02-25,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 2
BAFTA Awards: 2
BAFTA Nominations: 2
Golden Globes: 2
Golden Globe Nominations: 2

Greatest Performances: 

""Carnage"" - Level of Difficulty - 4.6 Stars
""Django Unchained"" - Level of Difficulty - 4.8 Stars
""Inglourious Bastards"" - Level of Difficulty - 5 Stars",Christoph Waltz,Django Unchained,1956-10-04
65,nm0000146,2012-11-15,2015-02-24,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 0
Golden Globe Nominations: 5

Greatest Performances: 

""Schindler's List"" - Level of Difficulty - 4.9 Stars
""The English Patient"" - Level of Difficulty - 4.8 Stars
""Harry Potter Series"" - Level of Difficulty - 4.7 Stars",Ralph Fiennes,The Grand Budapest Hotel,1962-12-22
66,nm0000136,2012-11-15,2014-11-05,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 10

Greatest Performances:

""Ed Wood"" - Level of Difficulty - 5 Stars                  
""Donnie Brasco"" - Level of Difficulty - 4.8 Stars
""Edward Scissorhands"" - Level of Difficulty - 4.8 Stars",Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
67,nm0001125,2014-07-21,2017-05-14,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 1

Greatest Performances: 

""Traffic"" - Level of Difficulty - 5.0 Stars
""21 Grams"" - Level of Difficulty - 4.9 Stars
""The Pledge"" - Level of Difficulty - 4.9 Stars",Benicio Del Toro,Sicario,1967-02-19
68,nm0004937,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Ray"" - Level of Difficulty - 5 Stars
""Collateral"" - Level of Difficulty - 4.6 Stars
""Django Unchained"" - Level of Difficulty - 4.6 Stars",Jamie Foxx,Collateral,1967-12-13
69,nm0001618,2012-11-15,2015-02-24,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.9 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Her"" - Level of Difficulty - 4.9 Stars
""The Master"" - Level of Difficulty - 4.8 Stars
""Walk the Line"" - Level of Difficulty - 4.8 Stars",Joaquin Phoenix,Walk the Line,1974-10-28
70,nm0000147,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 2
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""A Single Man"" - Level of Difficulty - 4.7 Stars
""The King's Speech"" - Level of Difficulty - 5 Stars
""Tinker Tailor Soldier Spy"" - Level of Difficulty - 4.7 Stars",Colin Firth,A Single Man,1960-09-10
71,nm0000190,2014-11-28,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 1 
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 1

Greatest Performances: 

""Killer Joe"" - Level of Difficulty - 4.6 Stars
""True Detective"" - Level of Difficulty - 4.7 Stars
""Dallas Buyers Club"" - Level of Difficulty - 4.9 Stars",Matthew McConaughey,Interstellar,1969-11-04
72,nm0000288,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""The Fighter"" - Level of Difficulty - 4.7 Stars
""The Dark Knight"" - Level of Difficulty - 4.5 Stars
""American Hustle"" - Level of Difficulty - 4.6 Stars",Christian Bale,The Dark Knight,1974-01-30
73,nm0000198,2013-06-20,2017-05-14,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 1 (1 for Writing)
BAFTA Nominations: 3 (1 for Writing) 
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Prick Up Your Ears"" - Level of Difficulty - 4.5 Stars
""Leon: The Professional"" - Level of Difficulty - 4.8 Stars
""Tinker Tailor Soldier Spy"" - Level of Difficulty - 4.7 Stars",Gary Oldman,The Dark Knight,1958-03-21
74,nm0001570,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""Primal Fear"" - Level of Difficulty - 4.8 Stars
""American History X"" - Level of Difficulty - 4.7 Stars
""Everyone Says I Love You"" - Level of Difficulty - 4.6 Stars",Edward Norton,Fight Club,1969-08-18
75,nm0000093,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 1 (Producing)
Oscar Nominations: 6 (3 for Producing)
BAFTA Awards: 1 (Producing)
BAFTA Nominations: 5 (2 for Producing) 
Golden Globes: 1
Golden Globe Nominations: 5 

Greatest Performances: 

""Moneyball"" - Level of Difficulty - 4.4 Stars
""Twelve Monkeys"" - Level of Difficulty - 4.7 Stars
""The Curious Case...Benjamin Button"" - Level of Difficulty - 4.6 Stars",Brad Pitt,Ad Astra,1963-12-18
76,nm0000129,2017-02-27,2017-05-14,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8  Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Magnolia"" - Level of Difficulty - 4.7 Stars
""Jerry Maguire"" - Level of Difficulty - 4.6 Stars
""Born on the Fourth of July"" - Level of Difficulty - 4.8 Stars",Tom Cruise,Top Gun,1962-07-03
77,nm0000354,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1 (Writing)
Oscar Nominations: 5 (2 for Producing/Writing)
BAFTA Awards: 0
BAFTA Nominations: 3 (1 for Producing)
Golden Globes: 2
Golden Globe Nominations: 7 (1 for Writing)

Greatest Performances: 

""Invictus"" - Level of Difficulty - 4.7 Stars
""Good Will Hunting"" - Level of Difficulty - 4.7 Stars
""The Talented Mr. Ripley"" - Level of Difficulty - 4.7 Stars",Matt Damon,Good Will Hunting,1970-10-08
78,nm0413168,2014-12-13,2014-12-13,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""The Fountain"" - Level of Difficulty - 4.8 Stars
""Les Miserables"" - Level of Difficulty - 4.9 Stars
""Kate & Leopold"" - Level of Difficulty - 4.7 Stars",Hugh Jackman,Les Misérables,1968-10-12
79,nm0000375,2014-07-21,2017-05-14,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 5

Greatest Performances: 

""Chaplin"" - Level of Difficulty - 4.8 Stars
""Tropic Thunder"" - Level of Difficulty - 4.6 Stars
""Sherlock Homes"" - Level of Difficulty - 4.7 Stars",Robert Downey Jr.,Iron Man,1965-04-04
80,nm0000553,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 3

Greatest Performances: 

""Kinsey"" - Level of Difficulty - 4.5 Stars
""Michael Collins"" - Level of Difficulty - 4.6 Stars
""Schindler's List"" - Level of Difficulty - 4.6 Stars",Liam Neeson,Kinsey,1952-06-07
81,nm0000154,2015-05-18,2017-05-14,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 2 (Directing/Producing)
Oscar Nominations: 3 (Directing/Producing)
BAFTA Awards: 0
BAFTA Nominations: 2 (Directing/Producing)
Golden Globes: 1 (Directing)
Golden Globe Nominations: 4 (2 for Directing)

Greatest Performances: 

""Ransom"" - Level of Difficulty - 4.6 Stars
""Braveheart"" - Level of Difficulty - 4.5 Stars
""What Women Want"" - Level of Difficulty - 4.6 Stars",Mel Gibson,Braveheart,1956-01-03
82,nm0000148,2012-11-15,2014-07-23,"Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.3 Stars
Role Transformation - 4.4 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 4

Greatest Performances: 

""Witness"" - Level of Difficulty - 4.6 Stars
""Star Wars"" - Level of Difficulty - 4.3 Stars
""The Fugitive"" - Level of Difficulty - 4.4 Stars",Harrison Ford,Raiders of the Lost Ark,1942-07-13
83,nm0000095,2016-05-31,2016-06-22,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 4 (Directing/Writing/Producing)
Oscar Nominations: 24 (1 for Acting)
BAFTA Awards: 9 (Directing/Writing/Producing)
BAFTA Nominations: 23 (2 for Acting)
Golden Globes: 2 (Writing)
Golden Globe Nominations: 13 (1 for Acting)

Greatest Performances:

""Annie Hall"" - Level of Difficulty - 4.6 Stars 
""Manhattan"" - Level of Difficulty - 4.5 Stars
""Take the Money and Run"" - Level of Difficulty - 4.3 Stars",Woody Allen,Manhattan,1935-11-30
84,nm0000537,2012-11-15,2013-07-16,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 4

Greatest Performances: 

""Papillon"" - Level of Difficulty - 4.7 Stars
""The Sand Pebbles"" - Level of Difficulty - 4.5 Stars
""Love with the Proper Stranger"" - Level of Difficulty - 4.2 Stars",Steve McQueen,The Great Escape,1930-03-24
85,nm0000080,2013-07-09,2013-07-16,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1 (For Acting)
BAFTA Awards: 0
BAFTA Nominations: 1 (For Acting)
Golden Globes: 1 (For Acting)
Golden Globe Nominations: 3 (For Acting)

Greatest Performances: 

""Butterfly"" - Level of Difficulty - 4.6 Stars
""Citizen Kane"" - Level of Difficulty - 4.7 Stars
""Chimes at Midnight"" - Level of Difficulty - 4.6 Stars",Orson Welles,Citizen Kane,1915-05-06
86,nm0000602,2012-11-15,2013-07-16,"Acting Abilities: 

Acting Skill - 4.4 Stars 
Overall Versatility - 4.2 Stars
Role Transformation - 4.3 Stars

Awards & Nominations:

Oscars: 1 (Directing)
Oscar Nominations: 4 (3 for Directing)
BAFTA Awards: 3
BAFTA Nominations: 4 (1 for Directing)
Golden Globes: 2 (1 for Directing)
Golden Globe Nominations: 5 (4 for Directing)

Greatest Performances: 

""The String"" - Level of Difficulty - 4.4 Stars
""Downhill Racer"" - Level of Difficulty - 4.4 Stars
""Tell Them Willie Boy Is Here"" - Level of Difficulty - 4.2 Stars",Robert Redford,The Natural,1936-08-18
87,nm0000015,2012-11-15,2015-03-14,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Giant"" - Level of Difficulty - 4.5 Stars
""East of Eden"" - Level of Difficulty - 4.6 Stars
""Rebel Without a Cause"" - Level of Difficulty - 4.5 Stars",James Dean,East of Eden,1931-02-08
88,nm0000032,2013-07-24,2013-07-24,"Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 3

Greatest Performances: 

""Ben-Hur"" - Level of Difficulty - 4.7 Stars
""The Ten Commandments"" - Level of Difficulty - 4.5 Stars
""The Pigeon That Took Rome"" - Level of Difficulty - 4.4 Stars",Charlton Heston,Ben-Hur,1923-10-04
89,nm0000037,2013-10-30,2015-07-20,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 2

Greatest Performances: 

""Hello, Dolly!"" - Level of Difficulty - 4.6 Stars
""Anchors Aweigh"" - Level of Difficulty - 4.6 Stars
""An American in Paris"" - Level of Difficulty - 4.7 Stars",Gene Kelly,Singin' in the Rain,1912-08-23
90,nm0000053,2014-05-20,2015-05-18,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Story of G.I. Joe"" - Level of Difficulty - 4.6 Stars
""The Longest Day"" - Level of Difficulty - 4.4 Stars
""Heaven Knows, Mr. Allison"" - Level of Difficulty - 4.5 Stars",Robert Mitchum,Out of the Past,1917-08-06
91,nm0000195,2012-11-17,2015-02-18,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances: 

""Rushmore"" - Level of Difficulty - 4.5 Stars
""Lost in Translation"" - Level of Difficulty - 4.6 Stars
""Hyde Park on Hudson"" - Level of Difficulty - 4.6 Stars",Bill Murray,Lost in Translation,1950-09-21
92,nm0000168,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 4

Greatest Performances: 

""Pulp Fiction"" - Level of Difficulty - 4.8 Stars
""Jackie Brown"" - Level of Difficulty - 4.7 Stars
""A Time to Kill"" - Level of Difficulty - 4.7 Stars",Samuel L. Jackson,Pulp Fiction,1948-12-21
93,nm0000120,2015-02-18,2015-02-18,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

AMC Awards: 0
AMC Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 2
Golden Globe Nominations: 6

Greatest Performances: 

""Man on the Moon"" - Level of Difficulty - 4.8 Stars
""The Truman Show"" - Level of Difficulty - 4.8 Stars
""Eternal Sunshine of the Spotless Mind"" - Level of Difficulty - 4.9 Stars",Jim Carrey,Ace Ventura: Pet Detective,1962-01-17
94,nm0000332,2013-02-26,2017-05-14,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 2 
Golden Globes: 2
Golden Globe Nominations: 3

Greatest Performances: 

""The Rat Pack"" - Level of Difficulty - 4.4 Stars
""House of Lies"" - Level of Difficulty - 4.5 Stars
""Hotel Rwanda"" - Level of Difficulty - 4.6 Stars",Don Cheadle,Crash,1964-11-29
95,nm0000640,2016-06-23,2016-07-22,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 8

Greatest Performances: 

""Kennedy"" - Level of Difficulty - 4.6 Stars
""Apocalypse Now"" - Level of Difficulty - 4.7 Stars
""The Subject Wad Roses"" - Level of Difficulty - 4.7 Stars",Martin Sheen,The Departed,1940-08-03
96,nm0000614,2017-02-15,2017-02-15,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 1
BAFTA Nominations: 4 
Golden Globes: 1
Golden Globe Nominations: 1

Greatest Performances: 

""Michael Collins"" - Level of Difficulty - 4.7 Stars
""Truly Madly Deeply"" - Level of Difficulty - 4.6 Stars
""Sense and Sensibility"" - Level of Difficulty - 4.6 Stars",Alan Rickman,Die Hard,1946-02-21
97,nm0000064,2016-05-31,2016-06-22,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.2 Stars
Role Transformation - 4.4 Stars

Awards & Nominations:

Oscars: 1 (Hon.)
Oscar Nominations: 1 (Hon.)
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances:

""Little Caesar"" - Level of Difficulty - 4.6 Stars 
""Scarlett Street"" - Level of Difficulty - 4.3 Stars
""Double Indemnity"" - Level of Difficulty - 4.5 Stars",Edward G. Robinson,Double Indemnity,1893-12-12
