Position,Const,Created,Modified,Description,Name,Known For,Birth Date
32,nm0001178,2011-02-17,2012-06-28,"[b]Recommended Viewing:[/b] [link=tt0015361][red]Strike[/red][/link] (1924), [link=tt0015648][red]Battleship Potemkin[/red][/link] (1925), [link=tt0018217]October[/link] (1927), [link=tt0022756]¡Que viva Mexico![/link] (1932), [link=tt0029850]Alexander Nevsky[/link] (1938), [link=tt0037824][red]Ivan the Terrible, Part I[/red][/link] (1944), [link=tt0051790][red]Ivan the Terrible, Part II[/red][/link] (1946)",Sergei Eisenstein,Ivan Groznyy,1898-01-22
33,nm0001379,2010-12-26,2012-04-23,"[b]Recommended Viewing:[/b] [link=tt0033870][red]The Maltese Falcon[/red][/link] (1941), [link=tt0034890]In This Our Life[/link] (1942), [link=tt0038687]Let There Be Light[/link] (1946), [link=tt0040897][red]The Treasure of the Sierra Madre[/red][/link] (1948), [link=tt0040506]Key Largo[/link] (1948), [link=tt0042208][red]The Asphalt Jungle[/red][/link] (1950), [link=tt0043265]The African Queen[/link] (1951), [link=tt0046414]Beat the Devil[/link] (1953), [link=tt0055184]The Misfits[/link] (1961), [link=tt0058404]The Night of the Iguana[/link] (1964), [link=tt0068575]Fat City[/link] (1972), [link=tt0073341]The Man Who Would Be King[/link] (1975), [link=tt0080140]Wise Blood[/link] (1979), [link=tt0092843]The Dead[/link] (1987)",John Huston,The Treasure of the Sierra Madre,1906-08-05
34,nm0802862,2011-03-22,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0040798]Sleep, My Love[/link] (1948), [link=tt0041871]Shockproof[/link] (1949), [link=tt0044128]Thunder on the Hill[/link] (1951), [link=tt0043873]Has Anybody Seen My Gal?[/link] (1952), [link=tt0045492]All I Desire[/link] (1953), [link=tt0047203]Magnificent Obsession[/link] (1954), [link=tt0047811][red]All That Heaven Allows[/red][/link] (1955), [link=tt0049843]There's Always Tomorrow[/link] (1956), [link=tt0049966][red]Written on the Wind[/red][/link] (1956), [link=tt0050544]Interlude[/link] (1957), [link=tt0051055]The Tarnished Angels[/link] (1957), [link=tt0052296]A Time to Love and a Time to Die[/link] (1958), [link=tt0052918][red]Imitation of Life[/red][/link] (1959)",Douglas Sirk,Schlußakkord,1897-04-26
35,nm0138893,2011-04-15,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0027552]Drole de Drame[/link] (1937), [link=tt0030643]Port of Shadows[/link] (1938), [link=tt0030252]Hotel du Nord[/link] (1938), [link=tt0031514]Le Jour se lève[/link] (1939), [link=tt0035521]The Devil's Envoys[/link] (1942), [link=tt0037674][red]Les Enfants du paradis[/red][/link] (1945)",Marcel Carné,Thérèse Raquin,1906-08-18
36,nm0899581,2011-02-17,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0035160]Ossessione[/link] (1943), [link=tt0040866]La Terra Trema[/link] (1948), [link=tt0047469][red]Senso[/red][/link] (1954), [link=tt0054248]Rocco and His Brothers[/link] (1960), [link=tt0057091][red]The Leopard[/red][/link] (1963), [link=tt0059856]Of a Thousand Delights[/link] (1965), [link=tt0064118]The Damned[/link] (1969), [link=tt0067445][red]Death in Venice[/red][/link] (1971), [link=tt0068883]Ludwig[/link] (1972)",Luchino Visconti,Il gattopardo,1906-11-02
37,nm0649097,2011-04-23,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0024252]Liebelei[/link] (1932), [link=tt0025791]La Signora di Tutti[/link] (1934), [link=tt0040536]Letter from and Unknown Woman[/link] (1948), [link=tt0040221]Caught[/link] (1949), [link=tt0041786]The Reckless Moment[/link] (1949), [link=tt0042906][red]La Ronde[/red][/link] (1950), [link=tt0045034]Le Plaisir[/link] (1951), [link=tt0046022][red]Madame de...[/red][/link] (1953), [link=tt0048308][red]Lola Montès[/red][/link] (1955)",Max Ophüls,La ronde,1902-05-06
38,nm0000186,2011-02-24,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0065794]The Grandmother[/link] (1970), [link=tt0074486][red]Eraserhead[/red][/link] (1977), [link=tt0080678]The Elephant Man[/link] (1980), [link=tt0087182]Dune[/link] (1984), [link=tt0090756][red]Blue Velvet[/red][/link] (1986), [link=tt0100935]Wild at Heart[/link] (1990), [link=tt0105665]Twin Peaks: Fire Walk with Me[/link] (1992), [link=tt0116922][red]Lost Highway[/red][/link] (1997), [link=tt0166896]The Straight Story[/link] (1999), [link=tt0166924][red]Mulholland Dr.[/red][/link] (2001), [link=tt0460829][red]Inland Empire[/red][/link] (2006)",David Lynch,Twin Peaks,1946-01-20
39,nm0000797,2011-02-24,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0067185][red]Harold and Maude[/red][/link] (1971), [link=tt0067185][red]The Last Detail[/red][/link] (1973), [link=tt0073692]Shampoo[/link] (1975), [link=tt0074235]Bound for Glory[/link] (1976), [link=tt0078841][red]Being There[/red][/link] (1979)",Hal Ashby,In the Heat of the Night,1929-09-02
40,nm0000180,2011-02-24,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0034891]In Which We Serve[/link] (1942) [co-directed by [link=nm0002021]Noel Coward[/link]], [link=tt0037367]This Happy Breed[/link] (1944), [link=tt0038363]Blithe Spirit[/link] (1945), [link=tt0037558]Brief Encounter[/link] (1945), [link=tt0038574][red]Great Expectations[/red][/link] (1946), [link=tt0040662]Oliver Twist[/link] (1948), [link=tt0041735]The Passionate Friends[/link] (1949), [link=tt0042700]Madeleine[/link] (1950), [link=tt0047094]Hobson's Choice[/link] (1954), [link=tt0048673]Summertime[/link] (1955), [link=tt0050212][red]The Bridge on the River Kwai[/red][/link] (1957), [link=tt0056172][red]Lawrence of Arabia[/red][/link] (1962), [link=tt0059113]Doctor Zhivago[/link] (1965)",David Lean,Lawrence of Arabia,1908-03-25
41,nm0001425,2011-04-23,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0078763]Camera Buff[/link] (1979), [link=tt0086961]No End[/link] (1985), [link=tt0095468]A Short Film About Killing[/link] (1987), [link=tt0095467]A Short Film About Love[/link] (1988), [link=tt0092337][red]Dekalog[/red][/link] (1988), [link=tt0101765][red]The Double Life of Veronique[/red][/link] (1991), [link=tt0108394][red]Three Colours: Blue[/red][/link] (1993), [link=tt0111507]Three Colours: White[/link] (1993), [link=tt0111495][red]Three Colours: Red[/red][/link] (1994)",Krzysztof Kieslowski,Trois couleurs: Bleu,1941-06-27
42,nm0850601,2010-12-17,2012-07-26,"* co-directed by [link=nm0398555]Ágnes Hranitzky[/link]

[b]Recommended Viewing:[/b] [link=tt0077383]Family Nest[/link] (1979), [link=tt0084465]The Prefab People[/link] (1982), [link=tt0087855]Öszi almanach[/link] (1984), [link=tt0095475]Damnation[/link] (1988), [link=tt0111341][red]Sátántangó[/red][/link] (1994), [link=tt0249241][red]Werckmeister Harmonies[/red][/link] (2000)*, [link=tt0415127]The Man from London[/link] (2007)*, [link=tt1316540]The Turin Horse[/link] (2011)*",Béla Tarr,Werckmeister harmóniák,1955-07-21
43,nm0000697,2011-02-18,2012-06-11,"[b]Recommended Viewing:[/b] [link=tt0035019]The Major and the Minor[/link] (1942), [link=tt0035884]Five Graves to Cairo[/link] (1943), [link=tt0036775][red]Double Indemnity[/red][/link] (1944), [link=tt0037884][red]The Lost Weekend[/red][/link] (1945), [link=tt0040367]A Foreign Affair[/link] (1948), [link=tt0043014]Sunset Blvd.[/link] (1950), [link=tt0043338][red]Ace in the Hole[/red][/link] (1951), [link=tt0047437]Sabrina[/link] (1954), [link=tt0053291][red]Some Like It Hot[/red][/link] (1959), [link=tt0053604][red]The Apartment[/red][/link] (1960), [link=tt0055256]One, Two, Three[/link] (1961), [link=tt0058265]Kiss Me, Stupid[/link] (1964), [link=tt0066249]The Private Life of Sherlock Holmes[/link] (1970), [link=tt0068240]Avanti![/link] (1972)",Billy Wilder,The Apartment,1906-06-22
44,nm0000265,2011-03-22,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0066026][red]M*A*S*H[/red][/link] (1970), [link=tt0066026][red]McCabe & Mrs. Miller[/red][/link] (1971), [link=tt0070334][red]The Long Goodbye[/red][/link] (1973), [link=tt0072274]Thieves Like Us[/link] (1974), [link=tt0071269][red]California Split[/red][/link] (1974), [link=tt0073440][red]Nashville[/red][/link] (1975), [link=tt0075612][red]3 Women[/red][/link] (1977), [link=tt0094562]Tanner '88[/link] (1988), [link=tt0105151][red]The Player[/red][/link] (1992), [link=tt0108122][red]Short Cuts[/red][/link] (1993), [link=tt0126250]Cookie's Fortune[/link] (1998), [link=tt0280707]Gosford Park[/link] (2001)",Robert Altman,Gosford Park,1925-02-20
45,nm0006445,2011-04-24,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0053279]The Sign of Leo[/link] (1959), [link=tt0056910]Suzanne's Career[/link] (1963), [link=tt0061495]La Collectionneuse[/link] (1966), [link=tt0064612]My Night at Maud's[/link] (1969), [link=tt0065772]Claire's Knee[/link] (1971), [link=tt0068205]Chloe in the Afternoon[/link] (1972), [link=tt0074870]The Marquise of O[/link] (1976), [link=tt0080728][red]The Aviator's Wife[/red][/link] (1981), [link=tt0086087]Pauline at the Beach[/link] (1983), [link=tt0087821]Full Moon in Paris[/link] (1984), [link=tt0091830][red]The Green Ray[/red][/link] (1986), [link=tt0092550]Boyfriends and Girlfriends[/link] (1987), [link=tt0115940]A Summer's Tale[/link] (1996), [link=tt0137439]An Autumn Tale[/link] (1998)",Éric Rohmer,Le genou de Claire,1920-04-04
46,nm0578483,2011-04-23,2012-07-09,"[b]Recommended Viewing:[/b] [link=tt0039822]Le Silence de la mer[/link] (1947), [link=tt0042436]Les Enfants terribles[/link] (1949), [link=tt0047892]Bob le flambeur[/link] (1956), [link=tt0054821][red]Le Doulos[/red][/link] (1962), [link=tt0060305]Second Breath[/link] (1966), [link=tt0062229][red]Le Samouraï[/red][/link] (1967), [link=tt0064040][red]Army of Shadows[/red][/link] (1969), [link=tt0065531]The Red Circle[/link] (1970), [link=tt0067900]Dirty Money[/link] (1972)",Jean-Pierre Melville,Le Samouraï,1917-10-20
47,nm0006249,2011-04-23,2012-07-23,"[b]Recommended Viewing:[/b] [link=tt0048473][red]Pather Panchali[/red][/link] (1955), [link=tt0048956]Aparajito[/link] (1956), [link=tt0051792][red]The Music Room[/red][/link] (1958), [link=tt0052572][red]The World of Apu[/red][/link] (1959), [link=tt0056134]Kanchenjungha[/link] (1962), [link=tt0057277]The Big City[/link] (1963), [link=tt0057935]Charulata[/link] (1964), [link=tt0065417]Days and Nights in the Forest[/link] (1969), [link=tt0069737]Distant Thunder[/link] (1973), [link=tt0076696]The Chess Players[/link] (1977), [link=tt0082906]Pikoor Diary[/link] (1981)",Satyajit Ray,Pather Panchali,1921-05-02
48,nm0104132,2011-04-24,2012-08-04,"[b]Recommended Viewing:[/b] [link=tt0046904]Desistfilm[/link] (1954), [link=tt0138941]Window Water Baby Moving[/link] (1962), [link=tt0057324]Mothlight[/link] (1963), [link=tt0234512][red]Dog Star Man[/red][/link] (1964), [link=tt0213456]The Art of Vision[/link] (1965), [link=tt0278012]Scenes from Under Childhood[/link] (1970), [link=tt0140788]The Act of Seeing with One's Own Eyes[/link] (1971), [link=tt0267972]The Text of Light[/link] (1974), [link=tt0278740]The Stars Are Beautiful[/link] (1974), [link=tt0278930]Arabic Series[/link] (1981), [link=tt0092828]The Dante Quartet[/link] (1987), [link=tt0277945]Passage Through: A Ritual[/link] (1990), [link=tt0281325]For Marilyn[/link] (1992)",Stan Brakhage,The Loom,1933-01-14
49,nm0720297,2011-04-09,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0048434][red]Night and Fog[/red][/link] (1955), [link=tt0049869]Toute la mémoire du monde[/link] (1956), [link=tt0051471]Le Chant du Styrène[/link] (1958), [link=tt0052893][red]Hiroshima mon amour[/red][/link] (1959), [link=tt0054632][red]Last Year at Marienbad[/red][/link] (1961), [link=tt0057336]Muriel[/link] (1963), [link=tt0076574]Providence[/link] (1977), [link=tt0081176]Mon oncle d'Amérique[/link] (1980)",Alain Resnais,Hiroshima mon amour,1922-06-03
50,nm0715346,2011-04-15,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0039677]Odd Man Out[/link] (1947), [link=tt0040338]The Fallen Idol[/link] (1948), [link=tt0041959][red]The Third Man[/red][/link] (1949), [link=tt0063385]Oliver![/link] (1968)",Carol Reed,The Third Man,1906-12-30
51,nm0000591,2011-04-09,2012-05-21,"[b]Recommended Viewing:[/b] [link=tt0056291]Knife in the Water[/link] (1962), [link=tt0059646][red]Repulsion[/red][/link] (1965), [link=tt0060268]Cul-de-sac[/link] (1966), [link=tt0063522][red]Rosemary's Baby[/red][/link] (1968), [link=tt0071315][red]Chinatown[/red][/link] (1974), [link=tt0074811]The Tenant[/link] (1976), [link=tt0080009]Tess[/link] (1979), [link=tt0109579]Death and the Maiden[/link] (1994), [link=tt0142688]The Ninth Gate[/link] (1999), [link=tt0253474]The Pianist[/link] (2002)",Roman Polanski,Chinatown,1933-08-18
52,nm0359734,2011-04-09,2012-07-27,"[b]Recommended Viewing:[/b] [link=tt0098327][red]The Seventh Continent[/red][/link] (1989), [link=tt0103793]Benny's Video[/link] (1992), [link=tt0109020]71 Fragments of a Chronology of Chance[/link] (1997), [link=tt0119167][red]Funny Games[/red][/link] (1997), [link=tt0216625]Code Unknown[/link] (2000), [link=tt0254686][red]The Piano Teacher[/red][/link] (2001), [link=tt0324197]Time of the Wolf[/link] (2003), [link=tt0387898][red]Caché[/red][/link] (2005), [link=tt1149362]The White Ribbon[/link] (2009)",Michael Haneke,Caché,1942-03-23
53,nm0452102,2011-04-09,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0093342]Where is the Friend's Home?[/link] (1987), [link=tt0097843]Homework[/link] (1989), [link=tt0100234][red]Close-Up[/red][/link] (1990), [link=tt0105888]And Life Goes On...[/link] (1992), [link=tt0111845]Through the Olive Trees[/link] (1994), [link=tt0112445]The White Balloon[/link] (1995), [link=tt0120265][red]A Taste of Cherry[/red][/link] (1997), [link=tt0209463][red]The Wind Will Carry Us[/red][/link] (1999), [link=tt0301978][red]Ten[/red][/link] (2002), [link=tt1020773]Certified Copy[/link] (2009)",Abbas Kiarostami,Copie conforme,1940-06-22
54,nm0729626,2011-04-24,2012-06-20,"[b]Recommended Viewing:[/b] [link=tt0062663]L'Amour fou[/link] (1968), [link=tt0246135]Out 1: noli me tangere[/link] (1971), [link=tt0066192]Out 1: Spectre[/link] (1972), [link=tt0071381][red]Celine and Julie Go Boating[/red][/link] (1974), [link=tt0101428]La Belle noiseuse[/link] (1991), [link=tt0113273]Haut bas fragile[/link] (1995), [link=tt0242994]Va savoir[/link] (2001), [link=tt0781435]The Duchess of Langeais[/link] (2007)",Jacques Rivette,La Belle Noiseuse,1928-03-01
55,nm0744023,2011-04-15,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0038890][red]Rome, Open City[/red][/link] (1945), [link=tt0038823][red]Paisan[/red][/link] (1946), [link=tt0039417][red]Germany, Year Zero[/red][/link] (1947), [link=tt0041931]Stromboli[/link] (1950), [link=tt0043511]Europa '51[/link] (1951), [link=tt0046511]Voyage in Italy[/link] (1953), [link=tt0053856]General Della Rovere[/link] (1959), [link=tt0060860][red]The Rise to Power of Louis XIV[/red][/link] (1966), [link=tt0077925]Il Messia[/link] (1975), [link=tt0420520]Beaubourg[/link] (1977)",Roberto Rossellini,Roma città aperta,1906-05-08
56,nm0001466,2011-04-15,2012-02-02,"[b]Recommended Viewing:[/b] [link=tt0058461]A Fistful of Dollars[/link] (1964), [link=tt0059578][red]For a Few Dollars More[/red][/link] (1965), [link=tt0060196][red]The Good, the Bad and the Ugly[/red][/link] (1966), [link=tt0064116][red]Once Upon a Time in the West[/red][/link] (1968), [link=tt0087843]Once Upon a Time in America[/link] (1984)",Sergio Leone,Once Upon a Time in America,1929-01-03
57,nm0001603,2011-04-23,2012-07-06,"[b]Recommended Viewing:[/b] [link=tt0056412]Ride the High Country[/link] (1962), [link=tt0065214][red]The Wild Bunch[/red][/link] (1969), [link=tt0067800][red]Straw Dogs[/red][/link] (1971), [link=tt0068638]The Getaway[/link] (1972), [link=tt0070518]Pat Garrett & Billy the Kid[/link] (1973), [link=tt0071249][red]Bring Me the Head of Alfredo Garcia[/red][/link] (1974)",Sam Peckinpah,The Wild Bunch,1925-02-21
58,nm0001120,2011-04-09,2012-02-06,"[b]Recommended Viewing:[/b] [link=tt0034493]The Children are Watching Us[/link] (1944), [link=tt0038913]Shoeshine[/link] (1946), [link=tt0040522][red]Bicycle Thieves[/red][/link] (1948), [link=tt0043809]Miracle in Milan[/link] (1951), [link=tt0045274][red]Umberto D.[/red][/link] (1952), [link=tt0054749]Two Women[/link] (1960)",Vittorio De Sica,Ladri di biciclette,1901-07-07
59,nm0001348,2011-04-09,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0063218]Signs of Life[/link] (1968), [link=tt0067324]Land of Silence and Darkness[/link] (1971), [link=tt0067085]Fata Morgana[/link] (1971), [link=tt0068182][red]Aguirre: The Wrath of God[/red][/link] (1972), [link=tt0070136]The Great Ecstasy of Woodcarver Steiner[/link] (1974), [link=tt0071691][red]The Enigma of Kaspar Hauser[/red][/link] (1974), [link=tt0074626]Heart of Glass[/link] (1976), [link=tt0075276][red]Stroszek[/red][/link] (1977), [link=tt0079641]Nosferatu the Vampyre[/link] (1979), [link=tt0083946][red]Fitzcarraldo[/red][/link] (1982), [link=tt0104706]Lessons of Darkness[/link] (1992), [link=tt0145046]Little Dieter Needs to Fly[/link] (1997), [link=tt0427312]Grizzly Man[/link] (2005), [link=tt1093824]Encounters at the End of the World[/link] (2007), [link=tt1095217]Bad Lieutenant: Port of Call New Orleans[/link] (2009), [link=tt1233219]My Son, My Son, What Have Ye Done[/link] (2009)",Werner Herzog,Fitzcarraldo,1942-09-05
60,nm0001008,2011-04-15,2012-01-19,"[b]Recommended Viewing:[/b] [link=tt0023814]The Bitter Tea of General Yen[/link] (1933), [link=tt0025316][red]It Happened One Night[/red][/link] (1934), [link=tt0027996]Mr. Deeds Goes to Town[/link] (1936), [link=tt0031679][red]Mr. Smith Goes to Washington[/red][/link] (1939), [link=tt0033891]Meet John Doe[/link] (1941), [link=tt0036613]Arsenic and Old Lace[/link] (1944), [link=tt0038650][red]It's a Wonderful Life[/red][/link] (1946)",Frank Capra,It's a Wonderful Life,1897-05-18
61,nm0001676,2011-04-15,2012-06-25,"[b]Recommended Viewing:[/b] [link=tt0066214][red]Performance[/red][/link] (1970) [co-directed by [link=nm0131910]Donald Cammell[/link]], [link=tt0067959]Walkabout[/link] (1971), [link=tt0069995][red]Don't Look Now[/red][/link] (1973), [link=tt0074851][red]The Man Who Fell to Earth[/red][/link] (1976), [link=tt0080408][red]Bad Timing[/red][/link] (1980), [link=tt0089343][red]Insignificance[/red][/link] (1985), [link=tt0100944]The Witches[/link] (1990)",Nicolas Roeg,Walkabout,1928-08-15
62,nm0000517,2011-04-09,2012-08-03,"[b]Recommended Viewing:[/b] [link=tt0069762][red]Badlands[/red][/link] (1973), [link=tt0077405][red]Days of Heaven[/red][/link] (1978), [link=tt0120863][red]The Thin Red Line[/red][/link] (1998), [link=tt0402399]The New World[/link] (2005), [link=tt0478304]The Tree of Life[/link] (2011)",Terrence Malick,Days of Heaven,1943-11-30
63,nm0004244,2011-04-23,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0040019]L'École des facteurs[/link] (1947), [link=tt0040497]Jour de Féte[/link] (1948), [link=tt0046487]Mr. Hulot's Holiday[/link] (1953), [link=tt0050706][red]Mon Oncle[/red][/link] (1958), [link=tt0062136][red]Playtime[/red][/link] (1967), [link=tt0069400]Traffic[/link] (1971)",Jacques Tati,Playtime,1907-10-09
64,nm0542649,2011-04-24,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0038986]Strange Impersonation[/link] (1946), [link=tt0039313]Desperate[/link] (1947), [link=tt0039748]Railroaded![/link] (1947), [link=tt0039881]T-Men[/link] (1947), [link=tt0040723]Raw Deal[/link] (1948), [link=tt0041796]Reign of Terror[/link] (1949), [link=tt0041198]Border Incident[/link] (1949), [link=tt0042960]Side Street[/link] (1950), [link=tt0043137][red]Winchester '73[/red][/link] (1950), [link=tt0042490]The Furies[/link] (1950), [link=tt0042395]Devil's Doorway[/link] (1950), [link=tt0044413]Bend of the River[/link] (1952), [link=tt0044953][red]The Naked Spur[/red][/link] (1953), [link=tt0046425]Thunder Bay[/link] (1953), [link=tt0048342]The Man from Laramie[/link] (1955), [link=tt0048055]The Far Country[/link] (1955), [link=tt0050699]Men in War[/link] (1957), [link=tt0051899][red]Man of the West[/red][/link] (1958), [link=tt0054847]El Cid[/link] (1961), [link=tt0058085]The Fall of the Roman Empire[/link] (1964)",Anthony Mann,Men in War,1906-06-30
65,nm0000934,2011-04-23,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0065571][red]The Conformist[/red][/link] (1969), [link=tt0066413]The Spider's Stratagem[/link] (1970), [link=tt0070849][red]Last Tango in Paris[/red][/link] (1973), [link=tt0074084]1900[/link] (1976), [link=tt0093389]The Last Emperor[/link] (1987)",Bernardo Bertolucci,Ultimo tango a Parigi,1941-03-16
66,nm0002030,2011-04-15,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0023948]Dinner at Eight[/link] (1933), [link=tt0024264]Little Women[/link] (1933), [link=tt0026266]David Copperfield[/link] (1935), [link=tt0028683]Camille[/link] (1936), [link=tt0030241][red]Holiday[/red][/link] (1938), [link=tt0032143][red]The Women[/red][/link] (1939), [link=tt0032904][red]The Philadelphia Story[/red][/link] (1940), [link=tt0034399]A Woman's Face[/link] (1941), [link=tt0036855]Gaslight[/link] (1944), [link=tt0041090]Adam's Rib[/link] (1949), [link=tt0042276]Born Yesterday[/link] (1950), [link=tt0045471]The Actress[/link] (1953), [link=tt0047123]It Should Happen to You[/link] (1954), [link=tt0047522][red]A Star is Born[/red][/link] (1954), [link=tt0049007]Bhowani Junction[/link] (1956), [link=tt0053902]Heller in Pink Tights[/link] (1960), [link=tt0058385]My Fair Lady[/link] (1964)",George Cukor,My Fair Lady,1899-07-07
67,nm0115218,2011-04-15,2012-02-02,"[b]Recommended Viewing:[/b] [link=tt0016473]The Unholy Three[/link] (1925), [link=tt0018528][red]The Unknown[/red][/link] (1927), [link=tt0019563]West of Zanzibar[/link] (1928), [link=tt0021814][red]Dracula[/red][/link] (1931), [link=tt0022913][red]Freaks[/red][/link] (1932), [link=tt0026685]Mark of the Vampire[/link] (1935), [link=tt0027521]The Devil-Doll[/link] (1936)",Tod Browning,The Unknown,1880-07-12
68,nm0591486,2011-04-24,2012-04-29,"[b]Recommended Viewing:[/b] [link=tt0037059]Meet Me in St. Louis[/link] (1944), [link=tt0037604]The Clock[/link] (1945), [link=tt0039066]Undercurrent[/link] (1946), [link=tt0040694]The Pirate[/link] (1948), [link=tt0042451]Father of the Bride[/link] (1950), [link=tt0043278][red]An American in Paris[/red][/link] (1951), [link=tt0044391]The Bad and the Beautiful[/link] (1952), [link=tt0045537][red]The Band Wagon[/red][/link] (1953), [link=tt0047944]The Cobweb[/link] (1955), [link=tt0049829]Tea and Sympathy[/link] (1956), [link=tt0051658]Gigi[/link] (1958), [link=tt0052218]Some Came Running[/link] (1958), [link=tt0053917]Home from the Hill[/link] (1960), [link=tt0056625]Two Weeks in Another Town[/link] (1962)",Vincente Minnelli,An American in Paris,1903-02-28
69,nm0002087,2011-04-24,2012-06-06,"[b]Recommended Viewing:[/b] [link=tt0041497]I Shot Jesse James[/link] (1949), [link=tt0044072]The Steel Helmet[/link] (1951), [link=tt0046187]Pickup on South Street[/link] (1953), [link=tt0048182]House of Bamboo[/link] (1955), [link=tt0050407]Forty Guns[/link] (1957), [link=tt0052713]The Crimson Kimono[/link] (1959), [link=tt0055571]Underworld U.S.A.[/link] (1961), [link=tt0057495][red]Shock Corridor[/red][/link] (1963), [link=tt0058390][red]The Naked Kiss[/red][/link] (1964), [link=tt0080437][red]The Big Red One[/red][/link] (1980), [link=tt0084899]White Dog[/link] (1982)",Samuel Fuller,Shock Corridor,1912-08-12
70,nm0000581,2011-04-24,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0038492]Dragonwyck[/link] (1946), [link=tt0038965]Somewhere in the Night[/link] (1946), [link=tt0039556]The Late George Apley[/link] (1947), [link=tt0039420]The Ghost and Mrs. Muir[/link] (1947), [link=tt0041587][red]A Letter to Three Wives[/red][/link] (1949), [link=tt0041487]House of Strangers[/link] (1949), [link=tt0042792]No Way Out[/link] (1950), [link=tt0042192][red]All About Eve[/red][/link] (1950), [link=tt0043915]People Will Talk[/link] (1951), [link=tt0044314]Five Fingers[/link] (1952), [link=tt0046754][red]The Barefoot Contessa[/red][/link] (1954), [link=tt0048140]Guys and Dolls[/link] (1955), [link=tt0053318]Suddenly, Last Summer[/link] (1959), [link=tt0069281]Sleuth[/link] (1972)",Joseph L. Mankiewicz,All About Eve,1909-02-11
71,nm0002031,2011-04-23,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0026174]Captain Blood[/link] (1935), [link=tt0029843][red]The Adventures of Robin Hood[/red][/link] (1938) [co-directed by [link=nm0445033]William Keighley[/link]], [link=tt0029870]Angels with Dirty Faces[/link] (1938), [link=tt0031235]Dodge City[/link] (1939), [link=tt0033028]The Sea Hawk[/link] (1940), [link=tt0034162]The Sea Wolf[/link] (1941), [link=tt0035575]Yankee Doodle Dandy[/link] (1942), [link=tt0034583][red]Casablanca[/red][/link] (1942), [link=tt0037913]Mildred Pierce[/link] (1945), [link=tt0039941]The Unsuspected[/link] (1947), [link=tt0041671]My Dream is Yours[/link] (1949), [link=tt0043153]Young Man with a Horn[/link] (1950), [link=tt0042281]The Breaking Point[/link] (1950), [link=tt0051818]King Creole[/link] (1958)",Michael Curtiz,Casablanca,1886-12-24
72,nm0939182,2011-04-24,2012-07-10,"[b]Recommended Viewing:[/b] [link=tt0101258]Days of Being Wild[/link] (1990), [link=tt0109424][red]Chungking Express[/red][/link] (1994), [link=tt0109688]Ashes of Time[/link] (1994),  [link=tt0112913]Fallen Angels[/link] (1995), [link=tt0118845]Happy Together[/link] (1997), [link=tt0118694][red]In the Mood for Love[/red][/link] (2000), [link=tt0212712]2046[/link] (2004)",Kar-Wai Wong,Yi dai zong shi,1956-07-17
73,nm0000095,2011-04-15,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0073312]Love and Death[/link] (1975), [link=tt0075686][red]Annie Hall[/red][/link] (1977), [link=tt0079522][red]Manhattan[/red][/link] (1979), [link=tt0086637]Zelig[/link] (1983), [link=tt0087003]Broadway Danny Rose[/link] (1984), [link=tt0091167][red]Hannah and Her Sisters[/red][/link] (1986), [link=tt0097123][red]Crimes and Misdemeanors[/red][/link] (1989), [link=tt0104466][red]Husbands and Wives[/red][/link] (1992), [link=tt0109348]Bullets Over Broadway[/link] (1994), [link=tt0113819]Mighty Aphrodite[/link] (1995), [link=tt0116242]Everyone Says I Love You[/link] (1996), [link=tt0118954]Deconstructing Harry[/link] (1997), [link=tt0158371]Sweet and Lowdown[/link] (1999), [link=tt0196216]Small Time Crooks[/link] (2000), [link=tt0256524]The Curse of the Jade Scorpion[/link] (2001), [link=tt0416320]Match Point[/link] (2005)",Woody Allen,Manhattan,1935-11-30
